Agency - Agency,Commodity - Commodity,Supplier - Common Supplier,Ordered Date,PO #,PO amount
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School",BATTLE'S TRANSPORTATION,3-Mar-15,PO516396,"1,036.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0207800:Recycled Agricultural Equipment Accessories and Supplies,SCHOOL SPECIALTY,16-Jan-15,PO514253,31.35
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857000:Instructional Aids: Courses, Lesson Plans (Prepared), Programs, Ancillary Materials, Videos, etc. (See Class 715 for Textbooks)",MATHCOUNTS,3-Nov-14,PO509163,120
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6209052:PEN, MARKING, FLIP CHART",SCHOOL SPECIALTY,12-Feb-15,PO515560,30.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),AMERICAN EXPRESS COMPANY,17-Dec-14,PO512877,"60,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,19-Dec-14,PO512862,26.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",WASHINGTON MUSIC CENTER,4-Nov-14,PO509358,55.9
OFFICE ON LATINO AFFAIRS,9625800:Professional Services (Not Otherwise Classified),Many Languages One Voice,28-Jan-15,PO514743,"5,000.00"
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,3-Feb-15,PO515037,27.2
METROPOLITAN POLICE DEPARTMENT,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",25-Nov-14,PO509828-V2,"55,744.00"
OFFICE ON AGING,9524000:Elderly Assistance Services,FAMILY & CHILD SRVCS OF DC INC,11-Feb-15,PO508078-V4,"39,478.00"
DEPARTMENT OF MOTOR VEHICLES,"8408428:CAMERA, VIDEO SURVEILLANCE (INDOOR-CLOSE QUARTER)","MVS, Inc.",4-Mar-15,PO516468,827.92
DEPARTMENT OF MOTOR VEHICLES,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,OFORI & ASSOCIATES  PC,19-Jan-15,PO514329,"60,000.00"
DEPARTMENT OF GENERAL SERVICES,"4859471:RECEPTACLES, WASTE, SWING TOP, METAL PAINTED BASE WITH STAINLESS STEEL SWING TOPAND GALVANIZED INNER CONTAINER",District Supply Inc.,4-Feb-15,PO515158,"46,115.00"
DEPARTMENT OF GENERAL SERVICES,9687200:Snow and Ice Removal Services,NATIONAL SERVICE CONTRACTORS I,6-Nov-14,PO509571,"700,000.00"
DEPARTMENT OF GENERAL SERVICES,"6350700:Cleaner and Conditioner, Paint Brush",General Merchandise Supplies,16-Oct-14,PO507376,"20,000.00"
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,KADCON CORPORATION,18-Dec-14,PO512994,"641,604.63"
DISTRICT DEPARTMENT OF THE ENVIRONMENT,"9982900:Computers, Parts and Supplies",Dell Computer Corp.,5-Dec-14,PO512075,"1,427.30"
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,NEAL R GROSS & CO INC,11-Dec-14,PO506799-V2,0
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),"Stephen M. Perlitsh, P.C.",1-Oct-14,PO505814,"4,275.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),CHESTNUT HEALTH SYSTEMS,10-Nov-14,PO506072-V2,"1,276.60"
DEPARTMENT OF BEHAVIORAL HEALTH,"2077258:PAPER FEEDER, FOR COMPUTER PRINTERS",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,1-Oct-14,PO505729,106.47
DEPARTMENT OF CORRECTIONS,"6800815:ARMOR, BODY, BALLISTIC; TO PROVIDE TYPE II BALLISTIC IMPACT PROTECTION; TO BE APPROVED IN ACCORDANCE WITH THE NATIONAL INST. OF JUSTICE STANDARD 0101.03","KDH Defense Systems, Inc.",23-Oct-14,PO508119,"1,287.50"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",American Health Care Services,18-Feb-15,PO512335-V3,"181,150.67"
DEPARTMENT ON DISABILITY SERVICES,"9527700:Research and Evaluation, Human Services (Including Productivity Audits)",Elizabeth Anne Jones,24-Feb-15,PO516034,867
DEPUTY MAYOR FOR PLANNING AND ECON DEV,9612600:Crating and Packing Services for Transportation (Including Material Handling Services),"BOCALJE SERVICES, INC.",9-Oct-14,PO506643-V2,545
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",THE WASHINGTON INFORMER,6-Nov-14,PO508408,"3,000.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",Tatyana Safronova,28-Oct-14,PO508551,"5,000.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",ONE WORLD EDUCATION,31-Oct-14,PO509001,"19,200.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",CHORAL ARTS SOCIETY OF WASHING,31-Oct-14,PO509011,"45,000.00"
FIRE AND EMERGENCY MEDICAL SERVICES,"0607455:PARTS AND ACCESSORIES, TRUCK (MISCELLANEOUS)",FIREHOOKS UNLIMITED,16-Dec-14,PO512729,403.75
DC PUBLIC LIBRARY,"9880800:Cleaning of Roadside Park (Rest Stop) Areas Including Privy Vaults, Septic Tanks and Trash Cans",Jerome L. Taylor Trucking Inc.,27-Feb-15,PO516150,"3,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2045440:MICROCOMPUTERS, HANDHELD",APPLE COMPUTER INC,11-Feb-15,PO515531,299.7
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9713000:Hotel/Motel Accomodations (Incl. Lodges, Resorts, Bed/Breakfast Inns, etc.)",WEST END TRAVEL INC,13-Jan-15,PO514076,"3,226.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2043735:TAPE DRIVES, EXTERNAL, COMPUTER, TO INCLUDE BACKUP AND OPERATION SOFTWARE, CONTROLLER CARDS AND ALL ADDITIONAL HARDWARE NECESSARY FOR INSTALLATION AND OPERATION",APPLE COMPUTER INC,19-Dec-14,PO513188,949
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),"MARLOW SPORTS, INC.",8-Dec-14,PO512221,390
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2041420:CAMERAS, DIGITAL, LCD",B & H FOTO & ELECTORNICS CORP,11-Dec-14,PO512548,"3,245.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4750903:BANDAGE, ABSORBENT GAUZE ROLLS, 'REDI-CUTS', NON-STERILE, SEAMLESS ROLLS, 10 YD LENGTH",SCHOOL HEALTH CORPORATION,16-Dec-14,PO512734,3.04
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6150410:PAPER, ADDING MACHINE, CARBONLESS",AMERICAN EXPRESS COMPANY,17-Nov-14,PO510567,"2,500.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",General Merchandise Supplies,24-Nov-14,PO511198,5.88
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6523950:NAPKINS, FEMININE (BRAND LISTED OR EQUAL)",MEDCO INC,24-Dec-14,PO513367,69.95
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9981800:Books, All Types (Library, School, etc.)",INTAC INC,12-Feb-15,PO515634,215.25
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School",BATTLE'S TRANSPORTATION,19-Dec-14,PO513207,"9,324.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",SCHOOL SPECIALTY,16-Jan-15,PO514252,9.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,20
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER","SCHOLASTIC, INC.",19-Nov-14,PO510751,5.21
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",CYNTHIA B KRESS,5-Dec-14,PO512146,7
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER","HANDWRITING WITHOUT TEARS, INC",15-Nov-14,PO510427,300
PUBLIC SERVICE COMMISSION,9851200:Audio/Video Equipment and Accessory Rental or Lease,EXECUTIVE COMMUNICATIONS,5-Feb-15,PO515201,"8,900.00"
BOARD OF ELECTIONS,"9155143:HOSTING SERVICES, WEB SITE",DATA NET SYSTEMS CORP,8-Oct-14,PO506729,"76,536.65"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","OST, Inc.",1-Dec-14,PO511680,"1,721.87"
CHILD AND FAMILY SERVICES AGENCY,9529500:Youth Care Services,STEPPINGSTONES,10-Oct-14,PO506901,"15,750.00"
SPECIAL EDUCATION TRANSPORTATION,9200244:GLOBAL POSITIONING SYSTEM (GPS) SUBSCRIPTION SERVICE,NAVMAN WIRELESS NORTH AMERICA,9-Oct-14,PO483483-V4,"61,077.04"
CHILD AND FAMILY SERVICES AGENCY,9625800:Professional Services (Not Otherwise Classified),Natalie P. Brown,3-Feb-15,PO515060,"61,466.00"
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9625800:Professional Services (Not Otherwise Classified),ARCH DEVELOPMENT CORPORATION,17-Nov-14,PO510456,"350,174.62"
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9625800:Professional Services (Not Otherwise Classified),"TIDEWATER, INC.",18-Nov-14,PO510580,"69,408.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","The Pittman Group, Inc DBA VANTIX",17-Nov-14,PO510333,"29,985.54"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",8-Oct-14,PO506483,"14,034.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","MVS, Inc.",23-Feb-15,PO515959,"1,089.32"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9183000:Computer Network Consulting,"OST, Inc.",1-Oct-14,PO505238,"43,148.80"
DEPARTMENT OF BEHAVIORAL HEALTH,"2853955:PARTS AND ACCESSORIES, STATIONARY TYPE GENERATORS","General Services, Inc.",1-Oct-14,PO505914,855
DEPARTMENT OF CORRECTIONS,9987800:Plumbing Equipment and Supplies,General Merchandise Supplies,9-Dec-14,PO512309,"150,000.00"
DEPARTMENT ON DISABILITY SERVICES,2095600:Inventory Management,Randall Jean Stattel,7-Oct-14,PO506364,"8,000.00"
STATE SUPERINTENDENT OF EDUCATION (OSSE),9625800:Professional Services (Not Otherwise Classified),MICHAEL LAZAN,24-Nov-14,PO511226,"72,000.00"
STATE SUPERINTENDENT OF EDUCATION (OSSE),9625800:Professional Services (Not Otherwise Classified),Global Education and Rehabilitation Services,21-Nov-14,PO511070,"40,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9628800:Travel, Non-Local (Scheduled and Unscheduled), Provided by Third Party (Incl. Commercial Airplane Travel and Helicopter Services)","FLAMBOYAN FOUNDATION, INC",5-Dec-14,PO512117,"2,556.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6405090:WASHCLOTHS, PAPER, DISPOSABLE",SCHOOL HEALTH CORPORATION,12-Dec-14,PO512624,34.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4857215:APPLICATORS, MOP, WET, RAYON, WAX",General Merchandise Supplies,16-Oct-14,PO507476,73.33
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9180600:Administrative Consulting,"TEACHING STRATEGIES, INC.",24-Dec-14,PO513379,"2,280.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2854579:LAMPS, PROJECTION",Clinton Learning Solutions LLC,26-Nov-14,PO511422,15
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",BAKER & TAYLOR INC,13-Jan-15,PO513990,11.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2071400:Battery Chargers, Computer and Peripheral","HI-TECH SOLUTION, INC.",13-Nov-14,PO510261,76
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9981800:Books, All Types (Library, School, etc.)",OKAPI Educational Publ,18-Dec-14,PO513088,210
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,MIND RESEARCH INSTITUTE,12-Nov-14,PO510110,"3,500.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,14.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",BSN SPORTS,22-Oct-14,PO507880,249.99
DEPARTMENT OF CORRECTIONS,"9616730:INTERPRETER, SIGN LANGUAGE",GRAHAM STAFFING SERVICES INC,11-Feb-15,PO515495,"1,000.00"
DEPARTMENT OF HEALTH CARE FINANCE,"9617539:TRANSLATION SERVICES, ENGLISH TO FRENCH",MULTICULTURAL COMMUNITY SERVIC,20-Nov-14,PO510870,"120,000.00"
DEPARTMENT OF HEALTH,9488700:Telemedical Professional Services,HOWARD UNIVERSITY HOSPITAL,1-Oct-14,PO505666,"30,500.00"
DEPARTMENT ON DISABILITY SERVICES,"9248600:Vocational Training, All Types  (Including Vocational Rehabilitation and Technical Education)",COLUMBIA LIGHTHOUSE FOR BLIND,7-Oct-14,PO506454,"27,552.00"
DEPT. OF CONSUMER AND REGULATORY AFFAIRS,9180600:Administrative Consulting,"OST, Inc.",25-Nov-14,PO506962-V2,"191,620.00"
DEPARTMENT ON DISABILITY SERVICES,"4702500:Communications Systems (For the Speech Impaired), Display Scanning Type",FREEDOM SCIENTIFIC BLV,24-Oct-14,PO508292,"15,000.00"
DEPARTMENT OF TRANSPORTATION,"SUPPORT SERVICES, MICROCOMPUTER SOFTWARE","OST, Inc.",9-Jan-15,PO502535-V4,"78,369.60"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",DANIEL SINGH,9-Dec-14,PO512295,"8,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"0508045:KNIVES, WOODCARVING","CLAYWORKS SUPPLIES, INC.",17-Oct-14,PO507592,307.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","AINS, Inc.",13-Feb-15,PO515653,"3,440.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8309500:Recycled Tanks, Accessories and Supplies",Capital Services and Supplies,2-Dec-14,PO511737,858
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2014252:GLOVES, MEDICAL EXAM, PARIS OF VINYL",SCHOOL HEALTH CORPORATION,6-Jan-15,PO513696,77.76
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,8055185:TABLE TENNIS EQUIPMENT (PING-PONG),PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,13-Nov-14,PO510219,874.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"5058888:STAIN REMOVER, FOR INK STAINS ON CLOTHING",General Merchandise Supplies,11-Dec-14,PO512471,122.24
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6150410:PAPER, ADDING MACHINE, CARBONLESS",AMERICAN EXPRESS COMPANY,3-Feb-15,PO515001,39
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4753700:Emergency Medical Services (EMS) Equipment and Supplies (Including Response Kits, Life Support Kits, Trauma Kits, etc.)",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,18-Nov-14,PO510713,46.12
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,MICHELLE MARIE MOLITOR,26-Jan-15,PO514610,"10,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6157361:PADS, POST-IT NOTE, 100% RECYCLED, FOR USE AS REFILLS FOR THE POP-UP TYPE DISPENSER",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,8-Dec-14,PO512245,93.7
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0207800:Recycled Agricultural Equipment Accessories and Supplies,SCHOOL SPECIALTY,16-Jan-15,PO514253,144.71
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1002100:Freight and Cargo Containers (Shipping) (See Class 640 For Boxes),ALGY COSTUMES & UNIFORMS,22-Jan-15,PO514474,124
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,3188800:Tokens,WASH METRO AREA TRANSIT AUTH,10-Oct-14,PO507067,20
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),PRESENTATION SYSTEMS SOUTH,4-Nov-14,PO509360,99.95
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),PRESENTATION SYSTEMS SOUTH,4-Nov-14,PO509360,199.9
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,45.14
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,48.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,"OST, Inc.",6-Feb-15,PO515283,"30,311.68"
DEPARTMENT OF FORENSICS SCIENCES,"2044600:Imaging Systems, Microcomputer (Including Digital Imaging Network (DIN) and Digital Imaging Communications in Medicine (DICOM))",FORAY TECHNOLOGIES,6-Feb-15,PO515245,"4,000.00"
METROPOLITAN POLICE DEPARTMENT,9815600:Police Equipment Supplies Rental or Lease,"HRAL, LLC",1-Oct-14,PO505240,"2,091.00"
OFFICE OF THE CHIEF MEDICAL EXAMINER,9622200:Chemical Laboratory Services,CERILLIANT CORPORATION,20-Jan-15,PO513132-V2,"5,000.00"
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,VIRCO INC.,11-Dec-14,PO512461,"117,454.03"
HOMELAND SECURITY GRANTS,0709500:Wreckers,"WEST END SERVICES, INC.",6-Feb-15,PO515250,"382,690.00"
DEPARTMENT OF GENERAL SERVICES,9987800:Plumbing Equipment and Supplies,A.H. JORDAN PLUMBING & MECHANI,7-Nov-14,PO509897,"20,000.00"
DEPARTMENT OF GENERAL SERVICES,"1924640:ICE MELT COMPOUND (CALCIUM CHLORIDE), FOR CONCRETE WALKWAYS","Flintstone Group, LLC",22-Oct-14,PO507992,"50,000.00"
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"OLENDER REPORTING, INC.",22-Oct-14,PO507902,846.65
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"NATHANIEL R. EVANS, II",15-Oct-14,PO507344,"1,275.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","CDW Government, Inc.",5-Jan-15,PO513676,"14,511.60"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),Etis Corporation,12-Nov-14,PO510131,"124,715.52"
DEPARTMENT OF BEHAVIORAL HEALTH,9101317:ELEVATOR MAINTENANCE AND REPAIR SERVICES,CENTURY ELEVATOR INC.,19-Dec-14,PO505910-V2,520
DEPARTMENT OF CORRECTIONS,9185200:Food Service Consulting,ARAMARK CORRECTIONAL SERVICES,8-Dec-14,PO507991-V2,"37,500.00"
DEPARTMENT OF HEALTH CARE FINANCE,9462000:Auditing,WILLIAMS ADLEY & COMPANY LLP,24-Feb-15,PO515020,"67,383.86"
DEPARTMENT OF CORRECTIONS,"6524329:CLIPS AND CLAMPS, HAIR",Ronald Stewart,3-Nov-14,PO509169,"80,000.00"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME","INNOVATIVE CONCEPTS, INC.",18-Feb-15,PO509549-V4,"12,104.20"
DEPARTMENT OF TRANSPORTATION,"9139500:Paving/Resurfacing, Highway and Road",FORT MYER CONSTRUCTION CORPORA,31-Oct-14,PO509113,"1,153,890.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",ROBERT BETTMANN,6-Nov-14,PO509641,"5,950.00"
STATE SUPERINTENDENT OF EDUCATION (OSSE),9625800:Professional Services (Not Otherwise Classified),"ARBOR E & T, LLC",23-Oct-14,PO508237,"45,000.00"
DEPARTMENT OF HUMAN SERVICES,9523700:Emergency Shelter,THE COMMUNITY PARTNERSHIP\HOME,1-Dec-14,PO511653,"393,784.35"
DEPARTMENT OF HUMAN SERVICES,"9852659:PHOTOCOPIERS, RENTAL OR LEASE, NEW OR REMANUFACTURED, CONFIGURATION 8, ENLARGEMENT/REDUCTION CAPABILITY, FULLY-AUTOMATED DOCUMENT FEEDER, 20-BIN SORTER",XEROX CORPORATION,4-Feb-15,PO507842-V2,"10,440.24"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9103957:JANITORIAL/CUSTODIAL SERVICES,Total Healthcare Solutions,16-Dec-14,PO512769,523.2
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2016513:COATS, RAIN, PLASTIC, HEAVY WT, POLYESTER BACKING, REINFORCED, SNAP FRONT, VENT CAPE BACK, DETACHABLE HOOD","SKY,LLC DBA/US-OFFICE SOLUTION",12-Dec-14,PO512586,33.68
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"INK CARTRIDGES, ROLLERS, RIBBON CASSETTES AND SPOOLS FOR POSTAGE METERS",Tonas Graphics,14-Nov-14,PO510398,390
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6652411:BAGS, GARBAGE, PLASTIC",METROPOLITAN OFFICE PRODUCTS,6-Nov-14,PO509694,729.9
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6203036:INK, WRITING",SCHOOL SPECIALTY,13-Jan-15,PO513981,390
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,SCHOOL SPECIALTY,20-Feb-15,PO510397-V2,50.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854400:Displays, Educational: Kits, Models, Plaques, etc.",BSN SPORTS,18-Feb-15,PO515755,81.99
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2008547:JACKETS, UNIFORM, WINTER WORK, 50% NYLON, 50% SPUN RAYON, SILICONE TREATED ON FACE, URETHANE TREATED ON BACK","MARLOW SPORTS, INC.",13-Jan-15,PO513982,225
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6453337:PAPER, COPIER, MULTI-PURPOSE","SKY,LLC DBA/US-OFFICE SOLUTION",4-Mar-15,PO516477,"4,575.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2071000:Batteries, Computer and Peripheral","HI-TECH SOLUTION, INC.",8-Dec-14,PO512220,"1,225.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"5255000:Books, Accession",AMERICAN READING COMPANY,10-Feb-15,PO515456,192
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9150400:Advertising, Outdoor Billboard, etc.",THE AQUILINE GROUP,30-Jan-15,PO514879,91.75
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME","INNOVATIVE CONCEPTS, INC.",18-Feb-15,PO509549-V4,"58,805.76"
DC PUBLIC LIBRARY,9150300:Advertising/Public Relations,"BLANK SLATE FACTORY, INC",12-Nov-14,PO509355-V2,0
DC PUBLIC LIBRARY,9634800:Membership Dues,CHIEF OFFICER OF STATE LIBRARY,17-Dec-14,PO512928,"3,800.00"
STATE SUPERINTENDENT OF EDUCATION (OSSE),9625800:Professional Services (Not Otherwise Classified),"TRANSPERFECT TRANSLATIONS,INC.",20-Feb-15,PO515911,"100,000.00"
DEPARTMENT OF HUMAN SERVICES,"9753573:RENTAL OF SHREDDER AND SCREENING PLANT W/CONVEYORS AND 2-DECK SCREEN, W/OPERATOR",SAFEGUARD PRIVACY PROTECTION,15-Oct-14,PO507277,"2,769.00"
DEPARTMENT OF HUMAN SERVICES,9521500:Case Management,MIRIAMS KITCHEN,18-Nov-14,PO510640,"58,800.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School",CAPITOL ENTERTAINMENT,21-Nov-14,PO511077,460
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8000877:BOOTS, LEATHER, UNIFORM, CHUKKA TYPE","MARLOW SPORTS, INC.",8-Dec-14,PO512209,160
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,GREAT AMERICAN CORP,12-Jan-15,PO513950,147.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",J W PEPPER & SON INC,10-Nov-14,PO510013,35
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9982400:Chemicals, All Types",WARD'S NATURAL SCIENCE,30-Dec-14,PO513597,228.72
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151520:BOOKS, FIGURING AND MULTICOLUMN, CLOTH COVERED STIFF COVERS, IMIT. LEATHER BACKS AND CORNERS, LEDGER PAPER",DEMCO INC,25-Nov-14,PO511258,32.38
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"0377877:STICKERS, IMPRINTED",AMERICAN EXPRESS COMPANY,2-Mar-15,PO516298,"23,566.00"
